id,title,created_at,last_posted_at,views,like_count,category_id
18201,Multicoloured Items,2019-06-08T09:38:48.735Z,2020-06-08T05:33:45.519Z,1010,184,13
20165,https://folksy.com/items/7487428-Lucy-the-multicoloured-dangle-earrings,2020-06-07T22:11:00.640Z,2020-06-07T22:11:00.702Z,38,0,13
14369,Handmade greetings cards. Let show all those gorgeous greetings cards and get some great sales today,2017-07-28T10:26:40.393Z,2020-06-07T19:12:01.646Z,4714,106,13
13009,Animal themed items,2016-12-19T16:15:41.206Z,2020-06-07T17:12:11.250Z,10648,755,6
8506,Suggestions for our Gifts for Makers Gift Guide,2015-10-13T17:19:45.781Z,2020-06-07T14:58:12.748Z,12660,86,25
7589,Suggestions for our new 'Unusual Gifts' guide please!,2015-08-03T17:27:11.585Z,2020-06-07T13:01:52.401Z,22074,328,25
13328,Bee themed items,2017-02-10T19:47:59.178Z,2020-06-07T10:38:55.227Z,1088,90,13
14390,Show me your pink items,2017-07-31T19:55:34.638Z,2020-06-07T09:59:32.657Z,10216,954,13
16102,Brown is not boring!,2018-05-12T08:37:23.034Z,2020-06-07T09:17:15.086Z,3130,393,13
19724,Gardening chat,2020-03-24T11:25:42.048Z,2020-06-07T06:49:19.427Z,1307,534,10
20155,Buy one get.one half price,2020-06-06T09:49:43.117Z,2020-06-06T14:55:33.908Z,75,1,6
19908,"New sellers, leave your Instagram link here",2020-04-30T08:49:43.626Z,2020-06-06T14:52:32.661Z,706,478,20
20017,Show Us Your White and Cream Items,2020-05-16T08:36:04.120Z,2020-06-06T14:20:00.833Z,125,26,13
7878,Show your red items here!,2015-08-26T20:49:10.851Z,2020-06-06T14:13:02.154Z,33009,988,13
19916,Art chat thread ...May 2020,2020-04-30T20:35:59.957Z,2020-06-06T13:15:17.696Z,633,269,13
18807,Promoting Folksy,2019-10-04T20:23:29.445Z,2020-06-06T11:53:07.207Z,5734,3050,27
20151,Trade e-catalogue,2020-06-05T14:13:41.587Z,2020-06-05T14:23:19.268Z,84,1,1
14460,Show your SALE items,2017-08-12T09:22:16.302Z,2020-06-05T10:09:42.801Z,4485,209,13
20052,Feedback by latest,2020-05-22T07:29:35.383Z,2020-06-05T10:08:18.504Z,123,5,6
11149,Most popular viewed product of the week,2016-04-30T17:52:01.232Z,2020-06-04T21:03:39.369Z,26753,1493,13
